Horizon started successfully.
[2020-12-23 12:02:21][214] Processed:  Maatwebsite\Excel\Jobs\QueueImport
[2020-12-23 12:02:21][215] Processing: Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-23 12:02:33][215] Processed:  Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-23 12:02:33][216] Processing: Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-23 12:02:45][216] Processed:  Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-23 12:02:45][217] Processing: Maatwebsite\Excel\Jobs\AfterImportJob
[2020-12-23 12:02:45][217] Processed:  Maatwebsite\Excel\Jobs\AfterImportJob
[2020-12-23 12:49:46][218] Processing: Maatwebsite\Excel\Jobs\QueueImport
[2020-12-23 12:49:46][218] Processed:  Maatwebsite\Excel\Jobs\QueueImport
[2020-12-23 12:49:46][219] Processing: Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-23 12:49:59][219] Processed:  Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-23 12:49:59][220] Processing: Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-23 12:50:11][220] Processed:  Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-23 12:50:11][221] Processing: Maatwebsite\Excel\Jobs\AfterImportJob
[2020-12-23 12:50:11][221] Processed:  Maatwebsite\Excel\Jobs\AfterImportJob
[2020-12-23 12:50:11][222] Processing: App\Jobs\CompletedImport
[2020-12-23 12:50:11][222] Processed:  App\Jobs\CompletedImport
[2020-12-23 12:50:11][223] Processing: App\Events\NotificationImport
[2020-12-23 12:50:12][223] Processed:  App\Events\NotificationImport
[2020-12-23 12:50:12][224] Processing: App\Jobs\NotificationJob
[2020-12-23 12:50:12][224] Processed:  App\Jobs\NotificationJob
[2020-12-23 12:50:17][225] Processing: App\Notifications\FinishJob
[2020-12-23 12:50:17][225] Processed:  App\Notifications\FinishJob
[2020-12-23 12:50:55][226] Processing: Maatwebsite\Excel\Jobs\QueueImport
[2020-12-23 12:50:55][226] Processed:  Maatwebsite\Excel\Jobs\QueueImport
[2020-12-23 12:50:55][227] Processing: Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-23 12:51:09][227] Processed:  Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-23 12:51:09][228] Processing: Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-23 12:51:21][228] Processed:  Maatwebsite\Excel\Jobs\ReadChunk
[2020-12-23 12:51:21][229] Processing: Maatwebsite\Excel\Jobs\AfterImportJob
[2020-12-23 12:51:21][229] Processed:  Maatwebsite\Excel\Jobs\AfterImportJob
[2020-12-23 12:51:21][230] Processing: App\Jobs\CompletedImport
[2020-12-23 12:51:21][230] Processed:  App\Jobs\CompletedImport
[2020-12-23 12:51:21][231] Processing: App\Events\NotificationImport
[2020-12-23 12:51:21][232] Processing: App\Jobs\NotificationJob
[2020-12-23 12:51:21][232] Processed:  App\Jobs\NotificationJob
[2020-12-23 12:51:22][231] Processed:  App\Events\NotificationImport
[2020-12-23 12:51:26][233] Processing: App\Notifications\FinishJob
[2020-12-23 12:51:26][233] Processed:  App\Notifications\FinishJob
Horizon started successfully.
[2021-01-26 07:52:15][234] Processing: Maatwebsite\Excel\Jobs\QueueImport
[2021-01-26 07:52:15][234] Processed:  Maatwebsite\Excel\Jobs\QueueImport
[2021-01-26 07:52:15][235] Processing: Maatwebsite\Excel\Jobs\ReadChunk
[2021-01-26 07:52:27][235] Processed:  Maatwebsite\Excel\Jobs\ReadChunk
[2021-01-26 07:52:27][236] Processing: Maatwebsite\Excel\Jobs\ReadChunk
[2021-01-26 07:52:39][240] Processing: App\Jobs\NotificationJob
[2021-01-26 07:52:39][240] Processed:  App\Jobs\NotificationJob
[2021-01-26 07:52:39][236] Processed:  Maatwebsite\Excel\Jobs\ReadChunk
[2021-01-26 07:52:39][237] Processing: Maatwebsite\Excel\Jobs\AfterImportJob
[2021-01-26 07:52:39][237] Processed:  Maatwebsite\Excel\Jobs\AfterImportJob
[2021-01-26 07:52:39][238] Processing: App\Jobs\CompletedImport
[2021-01-26 07:52:39][238] Processed:  App\Jobs\CompletedImport
[2021-01-26 07:52:39][239] Processing: App\Events\NotificationImport
[2021-01-26 07:52:40][239] Processed:  App\Events\NotificationImport
[2021-01-26 07:52:45][241] Processing: App\Notifications\FinishJob
[2021-01-26 07:52:45][241] Processed:  App\Notifications\FinishJob
